season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,available_flag,min_sec,season_start,season_end
2016-17,203504,Trey Burke,Trey,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,30.7,0.462,0.538,0.37,0.296,0.556,0.0,0.074,0.111,0.074,0.0,1.0,0.4,0.6,0.2,0.8,10,13,0.769,1,13060,13060,13060,6826,19759,5209,17448,4102,4463,9921,13116,10490,18962,16049,1,10960,1224,19259,3183,812,4303,1866,1,30:41,2016,2017
2016-17,1627849,Daniel Ochefu,Daniel,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,16.6,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.25,0.75,0.75,0.25,0.0,0.0,0.75,0.25,4,6,0.667,1,13060,13060,13060,18704,1,18442,1,4973,12221,9921,13946,5385,4426,6241,13913,11240,2859,8420,13207,8702,14148,2938,1,16:33,2016,2017
2016-17,1627815,Sheldon Mac,Sheldon,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,35.0,0.636,0.364,0.556,0.222,0.167,0.167,0.277,0.111,0.333,0.2,0.8,1.0,0.0,0.333,0.667,6,11,0.545,1,13060,13060,13060,3399,14611,10231,12654,5788,11375,6734,5229,10490,13444,15193,5357,1,2859,17098,4442,4424,6285,7309,1,34:57,2016,2017
2016-17,1626191,Chris McCullough,Chris,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,6.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,13060,13060,13060,23787,23957,1,20905,10490,12221,9921,13946,11896,19010,16049,15456,11240,2859,20088,15925,22732,23566,22732,1,6:33,2016,2017
2016-17,202711,Bojan Bogdanović,Bojan,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,19.4,0.75,0.25,0.571,0.571,0.429,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.333,0.667,3,8,0.375,1,13060,13060,13060,16452,10541,13504,11710,1023,5878,9921,13946,11896,19010,16049,1,1,2859,17098,4442,11660,10580,15774,1,19:25,2016,2017
2016-17,201943,Brandon Jennings,Brandon,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,27.4,0.444,0.556,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,9,0.111,1,13060,13060,13060,9665,19959,4847,1,10490,12221,1,13946,1,1,16049,1,11240,2859,20088,1,18863,8880,22624,1,27:24,2016,2017
2016-17,203107,Tomas Satoransky,Tomas,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,30.0,0.571,0.429,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,7,0.143,1,13060,13060,13060,7418,16355,8211,1,10490,12221,9921,13946,11896,1,1,15456,11240,2859,1,15925,18863,12283,22339,1,30:02,2016,2017
2016-17,1626162,Kelly Oubre Jr.,Kelly,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,28.3,0.833,0.167,1.0,0.0,0.0,0.25,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,4,12,0.333,1,13060,13060,13060,8847,8465,16116,1,10490,12221,4250,13946,1261,1,9393,8637,11240,2859,13072,6755,8702,5196,16811,1,28:19,2016,2017
2016-17,201160,Jason Smith,Jason,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,6.1,1.0,0.0,0.667,0.0,0.0,0.0,0.333,1.0,0.667,1.0,0.0,0.0,0.0,1.0,0.0,1,3,0.333,1,13060,13060,13060,23952,1,18442,8937,10490,12221,9921,3157,1,5318,1,15456,11240,2859,1,15925,18863,20108,16811,1,6:07,2016,2017
2016-17,203490,Otto Porter Jr.,Otto,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,14.7,0.75,0.25,0.727,0.364,0.0,0.0,0.273,0.0,0.364,0.5,0.5,0.0,0.0,0.5,0.5,4,8,0.5,1,13060,13060,13060,20047,10541,13504,8151,2970,12221,9921,5282,11896,12932,9393,8637,11240,2859,13072,6755,8702,10580,8149,1,14:41,2016,2017
2016-17,101162,Marcin Gortat,Marcin,1610612764,WAS,Washington Wizards,21601221,2017-04-12T00:00:00,WAS @ MIA,L,25.3,1.0,0.0,1.0,0.125,0.0,0.0,0.0,0.125,0.875,0.5,0.5,0.0,0.0,0.5,0.5,8,9,0.889,1,13060,13060,13060,11419,1,18442,1,8897,12221,9921,13946,9993,3241,9393,8637,11240,2859,13072,6755,2021,8880,1175,1,25:21,2016,2017
2016-17,202711,Bojan Bogdanović,Bojan,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,18.5,0.714,0.286,0.444,0.0,0.333,0.0,0.223,0.0,0.444,0.5,0.5,1.0,0.0,0.667,0.333,3,7,0.429,1,1,1,1,17223,11921,12674,15090,10490,7923,9921,6866,11896,10490,9393,8637,1,2859,9877,11044,11660,12283,13168,2,18:27,2016,2017
2016-17,201943,Brandon Jennings,Brandon,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,28.3,0.833,0.167,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6,0.167,1,1,1,1,8849,8465,16116,1,10490,12221,1,13946,1,1,16049,1,11240,2859,20088,1,18863,14148,21974,2,28:18,2016,2017
2016-17,203107,Tomas Satoransky,Tomas,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,19.7,0.667,0.333,0.545,0.364,0.273,0.0,0.182,0.0,0.182,0.333,0.667,1.0,0.0,0.5,0.5,4,6,0.667,1,1,1,1,16203,12913,10667,12752,2970,9271,9921,8620,11896,17375,13027,6639,1,2859,13072,6755,8702,14148,2938,2,19:42,2016,2017
2016-17,203078,Bradley Beal,Bradley,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,33.2,0.6,0.4,0.606,0.121,0.273,0.152,0.121,0.061,0.485,0.7,0.3,1.0,0.0,0.769,0.231,13,20,0.65,1,1,1,1,4777,15365,8913,11228,9103,9271,7426,11320,11756,9975,7151,13736,1,2859,8413,14315,150,800,4243,2,33:12,2016,2017
2016-17,203504,Trey Burke,Trey,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,23462,23957,18442,20905,10490,12221,9921,13946,11896,19010,16049,15456,11240,2859,20088,15925,22732,25027,22732,2,7:35,2016,2017
2016-17,1626162,Kelly Oubre Jr.,Kelly,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,36.8,1.0,0.0,0.4,0.0,0.0,0.3,0.6,0.1,0.4,1.0,0.0,0.0,0.0,1.0,0.0,2,10,0.2,1,1,1,1,2015,1,18442,15824,10490,12221,3409,837,10862,11362,1,15456,11240,2859,1,15925,15070,7506,21344,2,36:46,2016,2017
2016-17,101162,Marcin Gortat,Marcin,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,21.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.75,0.0,0.0,0.25,0.75,4,8,0.5,1,1,1,1,14833,1,18442,1,10490,12221,9921,13946,11896,1,14494,5770,11240,2859,18614,3570,8702,10580,8149,2,21:21,2016,2017
2016-17,202693,Markieff Morris,Markieff,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,27.3,0.75,0.25,0.7,0.4,0.3,0.0,0.0,0.0,0.3,0.286,0.714,1.0,0.0,0.444,0.556,9,16,0.563,1,1,1,1,9736,10541,13504,8795,2260,8826,9921,13946,11896,14538,14316,6429,1,2859,16031,6600,1285,2293,6769,2,27:18,2016,2017
2016-17,201160,Jason Smith,Jason,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,25.5,0.6,0.4,1.0,0.667,0.0,0.333,0.0,0.0,0.333,1.0,0.0,0.0,0.0,1.0,0.0,3,5,0.6,1,1,1,1,11299,15365,8913,1,694,12221,2629,13946,11896,13444,1,15456,11240,2859,1,15925,11660,16180,5049,2,25:29,2016,2017
2016-17,101133,Ian Mahinmi,Ian,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,21.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3,5,0.6,1,1,1,1,14418,1,18442,1,10490,12221,9921,13946,11896,1,1,15456,11240,2859,1,15925,11660,16180,5049,2,21:52,2016,2017
2016-17,201160,Jason Smith,Jason,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,9.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,2,0.5,1,13060,13060,13060,22864,23957,1,20905,10490,1,9921,13946,11896,19010,16049,15456,1,2859,1,15925,18863,21916,8149,1,9:17,2016,2017
2016-17,202693,Markieff Morris,Markieff,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,30.2,0.692,0.308,0.571,0.19,0.429,0.0,0.0,0.095,0.381,0.167,0.833,1.0,0.0,0.444,0.556,9,13,0.692,1,13060,13060,13060,7267,12654,12258,11710,6934,5878,9921,13946,11011,12707,15567,5150,1,2859,16031,6600,1285,4303,2852,1,30:10,2016,2017
2016-17,203107,Tomas Satoransky,Tomas,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,6.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,1,13060,13060,13060,23902,1,18442,1,1,12221,9921,13946,11896,19010,1,15456,11240,2859,1,15925,18863,21916,8149,1,6:13,2016,2017
2016-17,1626162,Kelly Oubre Jr.,Kelly,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,32.8,0.556,0.444,0.667,0.333,0.25,0.167,0.083,0.0,0.333,0.75,0.25,1.0,0.0,0.8,0.2,5,9,0.556,1,13060,13060,13060,5112,16895,7845,8937,3210,9876,6734,12744,11896,13444,6241,13913,1,2859,7668,14416,6330,8880,6870,1,32:47,2016,2017
2016-17,101133,Ian Mahinmi,Ian,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,18.8,1.0,0.0,0.727,0.0,0.0,0.0,0.273,0.0,0.727,0.75,0.25,0.0,0.0,0.75,0.25,4,4,1.0,1,13060,13060,13060,16949,1,18442,8151,10490,12221,9921,5282,11896,4870,6241,13913,11240,2859,8420,13207,8702,18194,1,1,18:48,2016,2017
2016-17,101162,Marcin Gortat,Marcin,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,29.2,1.0,0.0,0.727,0.0,0.0,0.182,0.273,0.636,0.727,0.25,0.75,0.0,0.0,0.25,0.75,4,7,0.571,1,13060,13060,13060,8066,1,18442,8151,10490,12221,6333,5282,900,4870,14494,5770,11240,2859,18614,3570,8702,12283,6176,1,29:12,2016,2017
2016-17,202322,John Wall,John,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,35.9,0.833,0.167,0.5,0.125,0.188,0.25,0.312,0.313,0.375,0.25,0.75,1.0,0.0,0.4,0.6,5,18,0.278,1,13060,13060,13060,2665,8465,16116,13388,8897,11048,4250,4400,4185,12772,14494,5770,1,2859,16375,5851,6330,1372,19809,1,35:52,2016,2017
2016-17,203078,Bradley Beal,Bradley,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,37.9,0.667,0.333,0.625,0.375,0.188,0.0,0.187,0.125,0.25,0.4,0.6,1.0,0.0,0.5,0.5,6,15,0.4,1,13060,13060,13060,1349,12913,10667,10822,2886,11048,9921,8510,9993,15600,12493,7988,1,2859,13072,6755,4424,2883,14323,1,37:56,2016,2017
2016-17,201943,Brandon Jennings,Brandon,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,15.1,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,4,0.25,1,13060,13060,13060,19775,17619,5379,1,10490,12221,9921,13946,11896,1,16049,1,11240,2859,20088,1,18863,18194,20034,1,15:03,2016,2017
2016-17,202711,Bojan Bogdanović,Bojan,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,24.7,0.714,0.286,0.444,0.444,0.333,0.0,0.223,0.0,0.0,1.0,0.0,0.0,1.0,0.667,0.333,3,7,0.429,1,13060,13060,13060,11999,11921,12674,15090,1977,7923,9921,6866,11896,19010,1,15456,11240,1,9877,11044,11660,12283,13168,1,24:42,2016,2017
2016-17,203490,Otto Porter Jr.,Otto,1610612764,WAS,Washington Wizards,21601176,2017-04-06T00:00:00,WAS @ NYK,W,22.5,0.571,0.429,0.286,0.286,0.429,0.0,0.285,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,2,7,0.286,1,1,1,1,13901,16355,8211,18649,4136,5878,9921,4823,11896,19010,16049,1,1,2859,13072,6755,15070,12283,19320,1,22:29,2016,2017
2016-17,203078,Bradley Beal,Bradley,1610612764,WAS,Washington Wizards,21601176,2017-04-06T00:00:00,WAS @ NYK,W,36.2,0.438,0.563,0.24,0.0,0.48,0.32,0.28,0.08,0.24,0.0,1.0,1.0,0.0,0.571,0.429,7,16,0.438,1,1,1,1,2383,20183,4809,19699,10490,5467,3215,5209,11413,16218,16049,1,1,2859,12608,9837,3047,2293,13031,1,36:13,2016,2017
2016-17,202711,Bojan Bogdanović,Bojan,1610612764,WAS,Washington Wizards,21601176,2017-04-06T00:00:00,WAS @ NYK,W,31.2,0.111,0.889,0.0,0.0,0.75,0.375,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2,9,0.222,1,1,1,1,6376,23886,1105,20905,10490,1624,2297,5704,11896,19010,16049,15456,10157,1266,13072,6755,15070,8880,21109,1,31:12,2016,2017
2016-17,201943,Brandon Jennings,Brandon,1610612764,WAS,Washington Wizards,21601176,2017-04-06T00:00:00,WAS @ NYK,W,19.5,0.6,0.4,0.0,0.0,0.75,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,5,0.2,1,1,1,1,16317,15365,8913,20905,10490,1624,1,5704,11896,19010,16049,15456,1,2859,1,15925,18863,16180,21344,1,19:33,2016,2017
2016-17,201160,Jason Smith,Jason,1610612764,WAS,Washington Wizards,21601176,2017-04-06T00:00:00,WAS @ NYK,W,22.6,0.0,1.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,4,0.25,1,1,1,1,13774,23957,1,20905,10490,2841,9921,2338,11896,19010,16049,15456,1,2859,1,15925,18863,18194,20034,1,22:38,2016,2017
2016-17,101133,Ian Mahinmi,Ian,1610612764,WAS,Washington Wizards,21601176,2017-04-06T00:00:00,WAS @ NYK,W,18.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,3,0.667,1,1,1,1,17494,1,18442,1,10490,12221,9921,13946,1261,1,1,15456,11240,2859,1,15925,15070,20108,2938,1,18:08,2016,2017
2016-17,202322,John Wall,John,1610612764,WAS,Washington Wizards,21601176,2017-04-06T00:00:00,WAS @ NYK,W,31.6,0.667,0.333,0.417,0.083,0.5,0.333,0.083,0.083,0.333,0.0,1.0,0.25,0.75,0.111,0.889,9,15,0.6,1,1,1,1,6074,12913,10667,15767,10052,4868,2629,12744,11313,13444,16049,1,11162,1001,19987,2711,1285,2883,5049,1,31:35,2016,2017
2016-17,101162,Marcin Gortat,Marcin,1610612764,WAS,Washington Wizards,21601176,2017-04-06T00:00:00,WAS @ NYK,W,29.9,1.0,0.0,0.875,0.0,0.0,0.0,0.125,0.125,0.875,0.571,0.429,0.0,0.0,0.571,0.429,7,7,1.0,1,1,1,1,7548,1,18442,5524,10490,12221,9921,10920,9993,3241,9155,11590,11240,2859,12608,9837,3047,12283,1,1,29:52,2016,2017
2016-17,1626162,Kelly Oubre Jr.,Kelly,1610612764,WAS,Washington Wizards,21601176,2017-04-06T00:00:00,WAS @ NYK,W,28.3,0.625,0.375,0.615,0.154,0.231,0.308,0.154,0.308,0.462,0.25,0.75,1.0,0.0,0.4,0.6,5,8,0.625,1,1,1,1,8821,14831,9856,11001,7929,10184,3303,9729,4235,10218,14494,5770,1,2859,16375,5851,6330,10580,4546,1,28:20,2016,2017
2016-17,202711,Bojan Bogdanović,Bojan,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,12.2,0.5,0.5,0.571,0.0,0.429,0.0,0.0,0.0,0.571,0.0,1.0,1.0,0.0,0.333,0.667,3,6,0.5,1,1,1,1,21553,17619,5379,11710,10490,5878,9921,13946,11896,7373,16049,1,1,2859,17098,4442,11660,14148,8149,1,12:12,2016,2017
2016-17,101162,Marcin Gortat,Marcin,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,24.9,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,4,6,0.667,1,1,1,1,11833,1,18442,1,1227,12221,9921,13946,11896,8604,1,15456,11240,2859,1,15925,8702,14148,2938,1,24:52,2016,2017
2016-17,202322,John Wall,John,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,35.4,0.75,0.25,0.435,0.087,0.391,0.087,0.174,0.174,0.348,0.0,1.0,0.667,0.333,0.25,0.75,8,16,0.5,1,1,1,1,3018,10541,13504,15471,9971,7159,9273,9012,8319,13367,16049,1,9716,2123,18614,3570,2021,2293,8149,1,35:25,2016,2017
2016-17,1626162,Kelly Oubre Jr.,Kelly,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,24.8,0.286,0.714,0.133,0.133,0.6,0.0,0.267,0.133,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,7,0.571,1,1,1,1,11940,22599,2245,20682,8619,2841,9921,5505,9694,19010,1,15456,1,2859,1,15925,8702,12283,6176,1,24:45,2016,2017
2016-17,202693,Markieff Morris,Markieff,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,21.5,0.667,0.333,0.571,0.143,0.429,0.0,0.0,0.143,0.429,1.0,0.0,1.0,0.0,1.0,0.0,6,9,0.667,1,1,1,1,14691,12913,10667,11710,8290,5878,9921,13946,9259,10992,1,15456,1,2859,1,15925,4424,8880,2938,1,21:32,2016,2017
2016-17,201160,Jason Smith,Jason,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,24.4,0.182,0.818,0.118,0.118,0.882,0.0,0.0,0.176,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6,11,0.545,1,1,1,1,12258,23615,1386,20767,9117,1228,9921,13946,8256,19010,1,15456,1,2859,1,15925,4424,6285,7309,1,24:23,2016,2017
2016-17,101133,Ian Mahinmi,Ian,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,22.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1,1,1,1,13803,1,18442,20905,10490,12221,9921,1,1,19010,16049,15456,11240,2859,20088,15925,22732,21916,22732,1,22:37,2016,2017
2016-17,203490,Otto Porter Jr.,Otto,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,25.3,0.5,0.5,0.444,0.222,0.333,0.0,0.223,0.0,0.222,1.0,0.0,1.0,0.0,1.0,0.0,3,8,0.375,1,1,1,1,11425,17619,5379,15090,5788,7923,9921,6866,11896,16382,1,15456,1,2859,1,15925,11660,10580,15774,1,25:20,2016,2017
2016-17,201943,Brandon Jennings,Brandon,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,14.1,0.6,0.4,0.4,0.0,0.6,0.4,0.0,0.4,0.4,0.0,1.0,1.0,0.0,0.5,0.5,2,5,0.4,1,1,1,1,20416,15365,8913,15824,10490,2841,1883,13946,2456,11362,16049,1,1,2859,13072,6755,15070,16180,14323,1,14:06,2016,2017
2016-17,203078,Bradley Beal,Bradley,1610612764,WAS,Washington Wizards,21601155,2017-04-04T00:00:00,WAS vs. CHA,W,34.8,0.733,0.267,0.632,0.211,0.158,0.211,0.21,0.211,0.421,0.5,0.5,1.0,0.0,0.571,0.429,7,15,0.467,1,1,1,1,3517,11563,13365,10732,6302,11494,5590,7384,6998,11210,9393,8637,1,2859,12608,9837,3047,2883,11878,1,34:48,2016,2017
2016-17,1626162,Kelly Oubre Jr.,Kelly,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,29.5,0.455,0.545,0.667,0.0,0.0,0.167,0.333,0.333,0.667,0.5,0.5,0.0,0.0,0.5,0.5,2,11,0.182,1,13060,13060,13060,7847,19821,5079,8937,10490,12221,6734,3157,3361,5318,9393,8637,11240,2859,13072,6755,15070,6285,21910,1,29:29,2016,2017
2016-17,201943,Brandon Jennings,Brandon,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,22.9,0.625,0.375,0.444,0.0,0.333,0.333,0.223,0.0,0.444,0.5,0.5,0.0,1.0,0.333,0.667,3,8,0.375,1,13060,13060,13060,13530,14831,9856,15090,10490,7923,2629,6866,11896,10490,9393,8637,11240,1,17098,4442,11660,10580,15774,1,22:54,2016,2017
2016-17,1627849,Daniel Ochefu,Daniel,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,2.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1,13060,13060,13060,25553,1,18442,20905,10490,12221,9921,13946,11896,19010,16049,15456,11240,2859,20088,15925,22732,21916,22732,1,2:07,2016,2017
2016-17,203107,Tomas Satoransky,Tomas,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,15.8,0.75,0.25,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,2,4,0.5,1,13060,13060,13060,19252,10541,13504,1,1227,12221,949,13946,11896,8604,1,15456,11240,2859,1,15925,15070,18194,8149,1,15:48,2016,2017
2016-17,101162,Marcin Gortat,Marcin,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,15.9,1.0,0.0,0.857,0.286,0.0,0.0,0.143,0.571,0.571,0.667,0.333,0.0,0.0,0.667,0.333,3,5,0.6,1,13060,13060,13060,19191,1,18442,5641,4136,12221,9921,10007,1104,7373,7174,12346,11240,2859,9877,11044,11660,16180,5049,1,15:54,2016,2017
2016-17,203490,Otto Porter Jr.,Otto,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,23.1,0.5,0.5,0.462,0.0,0.462,0.385,0.076,0.385,0.462,0.667,0.333,1.0,0.0,0.8,0.2,5,10,0.5,1,13060,13060,13060,13387,17619,5379,14831,10490,5607,2249,12908,2859,10218,7174,12346,1,2859,7668,14416,6330,7506,8149,1,23:04,2016,2017
2016-17,101133,Ian Mahinmi,Ian,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,21.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,1.0,0.75,0.25,0.0,0.0,0.75,0.25,4,4,1.0,1,13060,13060,13060,14904,1,18442,1,10490,12221,9921,13946,5385,1,6241,13913,11240,2859,8420,13207,8702,18194,1,1,21:17,2016,2017
2016-17,203078,Bradley Beal,Bradley,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,30.6,0.867,0.133,0.6,0.1,0.3,0.1,0.1,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8,15,0.533,1,13060,13060,13060,6903,7918,17056,11240,9622,8826,8903,12062,11840,8604,9393,8637,10157,1266,13072,6755,2021,2883,7808,1,30:35,2016,2017
2016-17,202693,Markieff Morris,Markieff,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,23.5,0.818,0.182,0.769,0.154,0.231,0.308,0.0,0.154,0.615,1.0,0.0,1.0,0.0,1.0,0.0,6,11,0.545,1,13060,13060,13060,13041,8985,15869,7348,7929,10184,3303,13946,8901,6816,1,15456,1,2859,1,15925,4424,6285,7309,1,23:30,2016,2017
2016-17,202711,Bojan Bogdanović,Bojan,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,28.7,0.364,0.636,0.2,0.1,0.6,0.25,0.2,0.1,0.1,0.0,1.0,1.0,0.0,0.667,0.333,6,11,0.545,1,13060,13060,13060,8533,21435,3500,20045,9622,2841,4250,7495,10862,18780,16049,1,1,2859,9877,11044,4424,6285,7309,1,28:40,2016,2017
2016-17,202322,John Wall,John,1610612764,WAS,Washington Wizards,21601152,2017-04-02T00:00:00,WAS @ GSW,L,26.7,0.909,0.091,0.533,0.133,0.0,0.6,0.467,0.133,0.4,0.25,0.75,0.0,0.0,0.25,0.75,4,11,0.364,1,13060,13060,13060,10228,7039,17882,13049,8619,12221,698,1787,9694,11362,14494,5770,11240,2859,18614,3570,8702,6285,16344,1,26:43,2016,2017
2016-17,201160,Jason Smith,Jason,1610612764,WAS,Washington Wizards,21601134,2017-03-31T00:00:00,WAS @ UTA,L,3.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,13060,13060,13060,24885,23957,1,20905,10490,12221,9921,13946,11896,19010,16049,15456,11240,2859,20088,15925,22732,23566,22732,1,3:44,2016,2017
